Ticket_ID,Device_ID,Timestamp,Description,Is_Root_Cause
7f129446,ONT-00044,2025-12-01 00:01:00,Upgrade Firmware,0
dc9c5e5f,ONT-02605,2025-12-01 00:04:00,Bảo trì có kế hoạch,0
c9754044,ONT-00236,2025-12-01 00:06:00,Kiểm tra định tuyến,0
c0a4377a,ONT-00280,2025-12-01 00:13:00,Upgrade Firmware,0
d9e3bd3b,ACCESS-0033,2025-12-01 00:14:00,Interface Down,1
a69e0ed7,ONT-00702,2025-12-01 00:14:03,ERROR_Lost 100%,0
80be7f4a,ONT-00183,2025-12-01 00:14:07,ERROR_Lost 100%,0
3009367c,ONT-01205,2025-12-01 00:14:32,ERROR_Lost 100%,0
747787cf,ONT-01209,2025-12-01 00:14:50,ERROR_Lost 100%,0
351c9141,ONT-02374,2025-12-01 00:14:56,ERROR_Lost 100%,0
c0e1ccfd,ONT-00190,2025-12-01 00:14:57,ERROR_Lost 100%,0
3dc9b69d,ONT-00853,2025-12-01 00:15:04,ERROR_Lost 100%,0
a2611c9a,ONT-00749,2025-12-01 00:15:07,ERROR_Lost 100%,0
6698c768,ONT-00959,2025-12-01 00:15:08,ERROR_Lost 100%,0
c7661322,ONT-02662,2025-12-01 00:15:36,ERROR_Lost 100%,0
929a0d46,ONT-01975,2025-12-01 00:15:51,ERROR_Lost 100%,0
a2ca9a21,ONT-01824,2025-12-01 00:16:00,Bảo trì có kế hoạch,0
4ecd6fdf,ONT-00380,2025-12-01 00:16:41,ERROR_Lost 100%,0
90dc0bad,ONT-00378,2025-12-01 00:16:46,ERROR_Lost 100%,0
efe54802,ONT-01816,2025-12-01 00:16:47,ERROR_Lost 100%,0
38ab5be1,ONT-02286,2025-12-01 00:17:03,ERROR_Lost 100%,0
99a4ed0d,ONT-01709,2025-12-01 00:17:35,ERROR_Lost 100%,0
473aa2e9,ONT-00823,2025-12-01 00:18:06,ERROR_Lost 100%,0
517b6eb3,ONT-02187,2025-12-01 00:18:12,ERROR_Lost 100%,0
6428d2bb,ONT-01179,2025-12-01 00:18:30,ERROR_Lost 100%,0
77b2540e,ONT-01592,2025-12-01 00:18:41,ERROR_Lost 100%,0
4b6c1e8b,ONT-00997,2025-12-01 00:18:41,ERROR_Lost 100%,0
97f022f7,ONT-00820,2025-12-01 00:18:48,ERROR_Lost 100%,0
ca7a789c,ONT-02355,2025-12-01 00:29:00,Bảo trì có kế hoạch,0
48eae886,ONT-00765,2025-12-01 00:29:00,Bảo trì có kế hoạch,0
386f2f36,ONT-02457,2025-12-01 00:30:00,Thay đổi mật khẩu wifi,0
cd6eb607,ONT-02344,2025-12-01 00:41:00,Kiểm tra tín hiệu,0
a6ada81e,ONT-00097,2025-12-01 00:48:00,Thay đổi gói cước,0
17d18098,ONT-00437,2025-12-01 00:54:00,Upgrade Firmware,0
144cc043,ONT-00744,2025-12-01 00:57:00,Bảo trì có kế hoạch,0
6ea6a8bd,ONT-01755,2025-12-01 00:58:00,Thay đổi mật khẩu wifi,0
fe2a94f8,ONT-01586,2025-12-01 01:01:00,Thay đổi mật khẩu wifi,0
2c988383,ONT-01329,2025-12-01 01:01:00,Kiểm tra tín hiệu,0
74c4648c,ONT-02504,2025-12-01 01:07:00,Bảo trì có kế hoạch,0
020ccd97,ACCESS-0013,2025-12-01 01:09:00,Bảo trì có kế hoạch,0
5919c4bb,ONT-00689,2025-12-01 01:16:00,Kiểm tra tín hiệu,0
77f78d63,ONT-02733,2025-12-01 01:22:00,Kiểm tra tín hiệu,0
bf3ef3ac,ONT-01318,2025-12-01 01:34:00,Kiểm tra định tuyến,0
c42ded2c,ONT-01165,2025-12-01 01:36:00,Kiểm tra tín hiệu,0
df81fa49,ONT-02396,2025-12-01 01:37:00,Bảo trì có kế hoạch,0
5711c486,ONT-01113,2025-12-01 01:41:00,Upgrade Firmware,0
1726c811,ONT-02361,2025-12-01 01:43:00,Bảo trì có kế hoạch,0
c95b1b9f,ONT-01294,2025-12-01 01:49:00,Kiểm tra tín hiệu,0
12551eb9,ONT-02775,2025-12-01 01:56:00,Thay đổi mật khẩu wifi,0
e2bf482c,ONT-01512,2025-12-01 01:59:00,Kiểm tra tín hiệu,0
ab08bf33,ONT-02586,2025-12-01 02:04:00,Kiểm tra định tuyến,0
08ff3f7e,ONT-02059,2025-12-01 02:12:00,Khách hàng báo chậm,0
e2708b09,ONT-00711,2025-12-01 02:12:00,Thay đổi gói cước,0
a585b5c0,ONT-01783,2025-12-01 02:21:00,Cấu hình VLAN,0
bad20a5b,ONT-00968,2025-12-01 02:29:00,Reset port theo yêu cầu,0
e3425a4c,ONT-02761,2025-12-01 02:32:00,Kiểm tra tín hiệu,0
e59e918f,ONT-01583,2025-12-01 02:39:00,Reset port theo yêu cầu,0
ff799920,ONT-01055,2025-12-01 02:42:00,Cấu hình VLAN,0
a7ff34b6,ONT-01665,2025-12-01 02:43:00,Kiểm tra định tuyến,0
d7f72c4e,ONT-01160,2025-12-01 02:45:00,Kiểm tra tín hiệu,0
8a3fb580,ONT-02938,2025-12-01 02:45:00,Khách hàng báo chậm,0
ae75fb6c,ONT-02561,2025-12-01 02:50:00,Reset port theo yêu cầu,0
68009c52,ONT-02036,2025-12-01 02:52:00,Reset port theo yêu cầu,0
709b1c8f,ONT-02592,2025-12-01 03:06:00,Khách hàng báo chậm,0
f406ee1b,ONT-01991,2025-12-01 03:06:00,Kiểm tra định tuyến,0
3db085cb,ONT-02675,2025-12-01 03:07:00,Thay đổi gói cước,0
716dec54,ACCESS-0013,2025-12-01 03:18:00,Fan Status Fault,1
55c164e0,ONT-00119,2025-12-01 03:18:04,ERROR_Lost 100%,0
fc6afdb5,ONT-02291,2025-12-01 03:18:59,ERROR_Lost 100%,0
4f081a4b,ONT-01024,2025-12-01 03:19:03,ERROR_Lost 100%,0
a71a3d7c,ONT-00057,2025-12-01 03:19:11,ERROR_Lost 100%,0
749e8729,ONT-00951,2025-12-01 03:20:02,ERROR_Lost 100%,0
8e9eeafe,ONT-01059,2025-12-01 03:20:07,ERROR_Lost 100%,0
c01260b5,ONT-02370,2025-12-01 03:20:11,ERROR_Lost 100%,0
b5173ee5,ONT-02390,2025-12-01 03:20:14,ERROR_Lost 100%,0
061a0d43,ONT-02730,2025-12-01 03:20:16,ERROR_Lost 100%,0
c64a6303,ONT-01872,2025-12-01 03:20:52,ERROR_Lost 100%,0
9bc9b969,ONT-01868,2025-12-01 03:21:03,ERROR_Lost 100%,0
32bea90e,ONT-02895,2025-12-01 03:21:19,ERROR_Lost 100%,0
c327c2a1,ONT-02543,2025-12-01 03:21:28,ERROR_Lost 100%,0
032a3181,ONT-01580,2025-12-01 03:21:37,ERROR_Lost 100%,0
21db68b4,ONT-01294,2025-12-01 03:21:40,ERROR_Lost 100%,0
20ab5f06,ONT-01300,2025-12-01 03:21:43,ERROR_Lost 100%,0
f3c5e016,ONT-01019,2025-12-01 03:22:04,ERROR_Lost 100%,0
9a731b16,ONT-02241,2025-12-01 03:22:14,ERROR_Lost 100%,0
17f105bd,ONT-00791,2025-12-01 03:22:15,ERROR_Lost 100%,0
f96f3167,ONT-01174,2025-12-01 03:22:22,ERROR_Lost 100%,0
b7db7016,ONT-01799,2025-12-01 03:22:36,ERROR_Lost 100%,0
0205a6a5,ONT-01438,2025-12-01 03:22:37,ERROR_Lost 100%,0
eade8403,ONT-00155,2025-12-01 03:22:57,ERROR_Lost 100%,0
d26c0015,ONT-02512,2025-12-01 03:30:00,Kiểm tra định tuyến,0
40748895,ONT-02865,2025-12-01 03:35:00,Reset port theo yêu cầu,0
01637442,ONT-02748,2025-12-01 03:52:00,Thay đổi mật khẩu wifi,0
5baeb48d,ONT-00568,2025-12-01 03:52:00,Kiểm tra định tuyến,0
2cad3714,ONT-02224,2025-12-01 03:52:00,Thay đổi mật khẩu wifi,0
ad1a8445,ONT-02895,2025-12-01 04:06:00,Bảo trì có kế hoạch,0
b35aa7bc,ONT-00157,2025-12-01 04:09:00,Thay đổi gói cước,0
66564a9e,ONT-02681,2025-12-01 04:11:00,Kiểm tra tín hiệu,0
c3b3c2dc,ONT-00372,2025-12-01 04:14:00,Thay đổi gói cước,0
341a9b3f,ACCESS-0057,2025-12-01 04:22:00,Thay đổi gói cước,0
1de6adbd,ONT-01449,2025-12-01 04:31:00,Bảo trì có kế hoạch,0
1265682c,ONT-02059,2025-12-01 04:32:00,Kiểm tra tín hiệu,0
88fa791f,ONT-02060,2025-12-01 04:33:00,Thay đổi mật khẩu wifi,0
3e7949fe,ONT-00443,2025-12-01 04:38:00,Kiểm tra định tuyến,0
e96b8518,ONT-00641,2025-12-01 04:38:00,Khách hàng báo chậm,0
0eb09181,ONT-02237,2025-12-01 04:44:00,Kiểm tra định tuyến,0
869eaf73,ONT-02392,2025-12-01 04:46:00,Reset port theo yêu cầu,0
633a5c97,ONT-01977,2025-12-01 04:47:00,Kiểm tra tín hiệu,0
cea6240f,ONT-02777,2025-12-01 04:58:00,Thay đổi gói cước,0
6f46505f,ONT-02774,2025-12-01 04:59:00,Upgrade Firmware,0
482b15ee,ONT-00224,2025-12-01 05:00:00,Kiểm tra tín hiệu,0
98d1abb3,ACCESS-0033,2025-12-01 05:01:00,Power Supply Failure,1
35eec541,ONT-01317,2025-12-01 05:01:00,Kiểm tra tín hiệu,0
494d0d1b,ONT-01588,2025-12-01 05:01:09,ERROR_Lost 100%,0
add73ac7,ONT-00190,2025-12-01 05:01:09,ERROR_Lost 100%,0
997e8de6,ONT-01975,2025-12-01 05:01:43,ERROR_Lost 100%,0
7a6defe8,ONT-00183,2025-12-01 05:02:27,ERROR_Lost 100%,0
dd8e8e7c,ONT-00785,2025-12-01 05:02:56,ERROR_Lost 100%,0
37683870,ONT-00380,2025-12-01 05:03:16,ERROR_Lost 100%,0
5ccb6999,ONT-00997,2025-12-01 05:03:46,ERROR_Lost 100%,0
57fc0c5f,ONT-00823,2025-12-01 05:03:50,ERROR_Lost 100%,0
78912d6a,ONT-00760,2025-12-01 05:04:09,ERROR_Lost 100%,0
8f11a16a,ONT-01816,2025-12-01 05:04:12,ERROR_Lost 100%,0
2e1b93f5,ONT-00702,2025-12-01 05:04:12,ERROR_Lost 100%,0
937e1ca7,ONT-01670,2025-12-01 05:04:18,ERROR_Lost 100%,0
3eaaf671,ONT-02662,2025-12-01 05:04:30,ERROR_Lost 100%,0
5d6b112d,ONT-01209,2025-12-01 05:04:39,ERROR_Lost 100%,0
c4cba148,ONT-00820,2025-12-01 05:04:52,ERROR_Lost 100%,0
c95e8fb6,ONT-00853,2025-12-01 05:05:16,ERROR_Lost 100%,0
c43d5c4a,ONT-01205,2025-12-01 05:05:43,ERROR_Lost 100%,0
b98962a9,ACCESS-0091,2025-12-01 05:06:00,Reset port theo yêu cầu,0
a1202652,ONT-01473,2025-12-01 05:14:00,Kiểm tra tín hiệu,0
ae36dfc2,ONT-00548,2025-12-01 05:15:00,Upgrade Firmware,0
38a72c22,ONT-02032,2025-12-01 05:22:00,Thay đổi gói cước,0
f7a57fac,ONT-00025,2025-12-01 05:36:00,Thay đổi mật khẩu wifi,0
053e754f,ONT-00050,2025-12-01 05:37:00,Upgrade Firmware,0
317cf50a,ONT-01592,2025-12-01 05:39:00,Khách hàng báo chậm,0
c5bb2349,ONT-01924,2025-12-01 05:40:00,Reset port theo yêu cầu,0
526c061c,ONT-00433,2025-12-01 05:47:00,Kiểm tra tín hiệu,0
2a217512,ONT-00849,2025-12-01 05:47:00,Kiểm tra tín hiệu,0
16fd2414,ONT-02905,2025-12-01 05:48:00,Kiểm tra định tuyến,0
