label,type,vendor,model,firmware,location,ip,id
CORE,CORE,Cisco,ASR9000,v3.3,South Jenniferbury,216.127.30.37,CORE_00
CORE,CORE,Cisco,ASR9000,v1.8,Andrewville,189.251.242.131,CORE_01
AGGREGATION,AGGREGATION,Huawei,CloudEngine 6800,v1.0,West Tylerland,128.20.69.97,AGG_SW_000
AGGREGATION,AGGREGATION,Huawei,S6730,v5.9,Howellfort,87.84.94.76,AGG_SW_001
AGGREGATION,AGGREGATION,Cisco,Nexus 9300,v5.6,Navarroport,90.98.253.110,AGG_SW_002
AGGREGATION,AGGREGATION,H3C,S6850,v1.2,North Arthur,133.86.14.194,AGG_SW_003
AGGREGATION,AGGREGATION,H3C,S6850,v2.3,East Sydneyport,22.252.35.168,AGG_SW_004
AGGREGATION,AGGREGATION,Huawei,S6730,v4.1,Port Kristen,95.67.224.198,AGG_SW_005
AGGREGATION,AGGREGATION,H3C,S6850,v1.7,Ryanchester,95.90.67.62,AGG_SW_006
AGGREGATION,AGGREGATION,H3C,S5560,v5.4,Lake Patriciaburgh,174.188.165.163,AGG_SW_007
AGGREGATION,AGGREGATION,Cisco,Nexus 9300,v1.0,North Eric,219.40.24.118,AGG_SW_008
AGGREGATION,AGGREGATION,H3C,S5560,v2.1,Stephenland,13.82.222.178,AGG_SW_009
AGGREGATION,AGGREGATION,H3C,S6850,v3.2,West Ashleyview,143.126.107.111,AGG_SW_010
AGGREGATION,AGGREGATION,H3C,S5560,v3.1,East Michael,62.235.253.78,AGG_SW_011
AGGREGATION,AGGREGATION,Cisco,Nexus 9300,v2.7,Davidsonmouth,194.195.73.188,AGG_SW_012
AGGREGATION,AGGREGATION,H3C,S5560,v3.0,South Jacquelinehaven,163.69.205.194,AGG_SW_013
AGGREGATION,AGGREGATION,Huawei,CloudEngine 6800,v4.4,Aliberg,16.198.137.223,AGG_SW_014
AGGREGATION,AGGREGATION,Huawei,CloudEngine 6800,v2.7,Port Thomas,204.76.92.61,AGG_SW_015
AGGREGATION,AGGREGATION,Cisco,Catalyst 9500,v2.4,North Amy,11.192.103.247,AGG_SW_016
AGGREGATION,AGGREGATION,Huawei,CloudEngine 6800,v5.6,Simsberg,219.63.126.106,AGG_SW_017
AGGREGATION,AGGREGATION,H3C,S5560,v2.8,Garyland,142.192.199.62,AGG_SW_018
AGGREGATION,AGGREGATION,Huawei,S6730,v1.2,West Ricardofort,169.245.99.75,AGG_SW_019
OLT,OLT,Dasan,V8240,v4.6,Joshuashire,6.94.126.84,OLT_000
OLT,OLT,Dasan,V5812,v5.0,West Derekchester,191.206.47.47,OLT_001
OLT,OLT,GCOM,GL5610,v1.4,New Jenna,214.183.86.15,OLT_002
OLT,OLT,ZTE,C320,v1.4,Davisland,198.147.56.236,OLT_003
OLT,OLT,ZTE,C300,v3.8,Clarkberg,135.188.159.120,OLT_004
OLT,OLT,ZTE,C300,v3.2,East Kirstenshire,93.201.242.0,OLT_005
OLT,OLT,Huawei,MA5600T,v4.0,East Mary,115.75.71.128,OLT_006
OLT,OLT,GCOM,GL5610,v2.0,North Felicia,103.126.177.144,OLT_007
OLT,OLT,Huawei,MA5800-X7,v4.1,Gonzalezberg,129.18.0.190,OLT_008
OLT,OLT,ZTE,C300,v4.8,Kanemouth,132.186.89.179,OLT_009
OLT,OLT,GCOM,GL5610,v2.8,North Michael,25.213.152.77,OLT_010
OLT,OLT,GCOM,GL5610,v3.7,Lake Davidfurt,85.191.19.105,OLT_011
OLT,OLT,Dasan,V8240,v2.3,West Jennifer,64.121.156.64,OLT_012
OLT,OLT,GCOM,GC16,v5.8,Kimberlyton,51.188.166.220,OLT_013
OLT,OLT,ZTE,C300,v1.0,South Robynshire,141.159.100.18,OLT_014
OLT,OLT,Huawei,MA5800-X7,v3.1,Port Lisa,80.138.31.138,OLT_015
OLT,OLT,ZTE,C320,v4.3,Angelfurt,178.61.218.40,OLT_016
OLT,OLT,ZTE,C320,v2.7,Lindashire,42.82.199.167,OLT_017
OLT,OLT,ZTE,C300,v1.6,Kennethborough,194.112.249.76,OLT_018
OLT,OLT,Dasan,V5812,v4.0,New Russell,92.87.5.127,OLT_019
OLT,OLT,Huawei,MA5600T,v3.1,West Markview,7.76.65.210,OLT_020
OLT,OLT,ZTE,C300,v5.7,Jameston,110.224.246.182,OLT_021
OLT,OLT,Dasan,V8240,v3.7,North Mitchellburgh,5.227.240.126,OLT_022
OLT,OLT,Huawei,MA5600T,v5.1,East Carriemouth,2.239.57.131,OLT_023
OLT,OLT,Huawei,MA5800-X7,v2.2,Scottstad,34.148.132.168,OLT_024
OLT,OLT,Dasan,V5812,v2.6,Kathleenmouth,129.153.113.90,OLT_025
OLT,OLT,ZTE,C320,v1.6,Stevenmouth,30.241.35.181,OLT_026
OLT,OLT,Dasan,V5812,v4.8,South Samantha,146.171.117.66,OLT_027
OLT,OLT,ZTE,C300,v3.3,Lake Meaganfurt,149.93.179.102,OLT_028
OLT,OLT,Huawei,MA5600T,v1.0,Wheelerfort,157.136.59.234,OLT_029
OLT,OLT,Dasan,V8240,v1.8,Port Mariatown,168.26.18.108,OLT_030
OLT,OLT,ZTE,C300,v5.1,Martinmouth,184.105.20.201,OLT_031
